target,model,model_type,stopping_condition,hyperparameter_optimization,main_hyperparameters,test_result_main,comment
daily_revenue,Naive Forecast,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Naive Forecast,"MAE=4251.6275, RMSE=5394.8147, NMAE=0.5389, R2=-1.1214",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_revenue,Seasonal Naive 7 days,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Seasonal Naive 7 days,"MAE=4303.0509, RMSE=5624.9494, NMAE=0.5454, R2=-1.3063",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_revenue,Moving Average 7 days,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Moving Average 7 days,"MAE=3393.4097, RMSE=4142.6942, NMAE=0.4301, R2=-0.2509",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_revenue,Moving Average 14 days,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Moving Average 14 days,"MAE=3173.3907, RMSE=3892.8975, NMAE=0.4022, R2=-0.1046",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_revenue,Moving Average 28 days,Time-series baseline,Không có quá trình huấn luyện. Dự báo được tính trực tiếp từ giá trị quá khứ.,Không tối ưu siêu tham số.,Moving Average 28 days,"MAE=3035.8905, RMSE=3769.0468, NMAE=0.3848, R2=-0.0355",Dùng làm mốc so sánh để kiểm tra mô hình học máy có thật sự cải thiện so với quy tắc dự báo đơn giản hay không.
daily_revenue,Ridge Regression Tuned,Tuned regression model,Dừng khi nghiệm tối ưu của hàm mất mát có điều chuẩn L2 được tìm thấy.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.",{'model__alpha': np.float64(621.0169418915616)},"MAE=3104.6005, RMSE=3795.7880, NMAE=0.3935, R2=-0.0502","Mô hình hồi quy tuyến tính có điều chuẩn L2, giúp giảm độ lớn hệ số và hạn chế overfitting."
daily_revenue,Lasso Regression Tuned,Tuned regression model,Dừng khi nghiệm hội tụ hoặc đạt số vòng lặp tối đa.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.",{'model__alpha': np.float64(6.723357536499335)},"MAE=3854.9965, RMSE=4571.9324, NMAE=0.4886, R2=-0.5236","Mô hình hồi quy tuyến tính có điều chuẩn L1, có khả năng co một số hệ số về 0."
daily_revenue,Random Forest Regressor Tuned,Tuned regression model,Dừng khi xây đủ số lượng cây được chọn trong quá trình tối ưu siêu tham số.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 3}","MAE=3066.0313, RMSE=3754.4766, NMAE=0.3886, R2=-0.0275","Mô hình ensemble nhiều cây, có khả năng học quan hệ phi tuyến và tương tác giữa đặc trưng."
daily_revenue,Extra Trees Regressor Tuned,Tuned regression model,Dừng khi xây đủ số lượng cây trong ensemble.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 3}","MAE=3067.0079, RMSE=3755.4368, NMAE=0.3887, R2=-0.0280","Mô hình ensemble nhiều cây với mức ngẫu nhiên cao hơn, có thể giảm phương sai."
daily_revenue,Gradient Boosting Regressor Tuned,Tuned regression model,Dừng khi hoàn thành số vòng boosting được chọn.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__subsample': 0.7, 'model__n_estimators': 100, 'model__min_samples_leaf': 3, 'model__max_depth': 2, 'model__learning_rate': 0.01}","MAE=3344.9885, RMSE=3984.6219, NMAE=0.4240, R2=-0.1573","Mô hình boosting tuần tự, mỗi cây sau tập trung sửa lỗi của các cây trước."
daily_revenue,HistGradientBoosting Regressor Tuned,Tuned regression model,Dừng khi đạt số vòng lặp tối đa hoặc điều kiện hội tụ nội bộ của thuật toán.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 100, 'model__learning_rate': 0.01, 'model__l2_regularization': 1.0}","MAE=3172.5196, RMSE=3862.7227, NMAE=0.4021, R2=-0.0876","Mô hình boosting dựa trên histogram, phù hợp với dữ liệu bảng và có tốc độ huấn luyện tốt."
daily_revenue,Ridge Regression Tuned with log target,Tuned regression model,Dừng khi nghiệm tối ưu của hàm mất mát có điều chuẩn L2 được tìm thấy.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.",{'model__alpha': np.float64(621.0169418915616)},"MAE=2920.5357, RMSE=3712.9639, NMAE=0.3702, R2=-0.0049","Mô hình hồi quy tuyến tính có điều chuẩn L2, giúp giảm độ lớn hệ số và hạn chế overfitting."
daily_revenue,Lasso Regression Tuned with log target,Tuned regression model,Dừng khi nghiệm hội tụ hoặc đạt số vòng lặp tối đa.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.",{'model__alpha': np.float64(4.52035365636025)},"MAE=2881.1254, RMSE=3732.2065, NMAE=0.3652, R2=-0.0153","Mô hình hồi quy tuyến tính có điều chuẩn L1, có khả năng co một số hệ số về 0."
daily_revenue,Random Forest Regressor Tuned with log target,Tuned regression model,Dừng khi xây đủ số lượng cây được chọn trong quá trình tối ưu siêu tham số.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 3}","MAE=2884.8688, RMSE=3723.1441, NMAE=0.3656, R2=-0.0104","Mô hình ensemble nhiều cây, có khả năng học quan hệ phi tuyến và tương tác giữa đặc trưng."
daily_revenue,Extra Trees Regressor Tuned with log target,Tuned regression model,Dừng khi xây đủ số lượng cây trong ensemble.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 8, 'model__max_features': 'sqrt', 'model__max_depth': 3}","MAE=2896.2464, RMSE=3722.7076, NMAE=0.3671, R2=-0.0102","Mô hình ensemble nhiều cây với mức ngẫu nhiên cao hơn, có thể giảm phương sai."
daily_revenue,Gradient Boosting Regressor Tuned with log target,Tuned regression model,Dừng khi hoàn thành số vòng boosting được chọn.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__subsample': 0.85, 'model__n_estimators': 100, 'model__min_samples_leaf': 5, 'model__max_depth': 3, 'model__learning_rate': 0.01}","MAE=2918.4978, RMSE=3727.5161, NMAE=0.3699, R2=-0.0128","Mô hình boosting tuần tự, mỗi cây sau tập trung sửa lỗi của các cây trước."
daily_revenue,HistGradientBoosting Regressor Tuned with log target,Tuned regression model,Dừng khi đạt số vòng lặp tối đa hoặc điều kiện hội tụ nội bộ của thuật toán.,"RandomizedSearchCV với TimeSeriesSplit, tiêu chí tối ưu là MAE trên các lát cắt thời gian.","{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_iter': 100, 'model__learning_rate': 0.01, 'model__l2_regularization': 1.0}","MAE=2986.1779, RMSE=3797.4370, NMAE=0.3785, R2=-0.0511","Mô hình boosting dựa trên histogram, phù hợp với dữ liệu bảng và có tốc độ huấn luyện tốt."
